Brand,"December 1","December 2","December 3","December 4","December 5","December 6","December 7","Total [Per Brand]","Total without VAT 21% [Per Brand]"
AA-Brand,"2,352.60","13,618.98","8,946.45","22,029.60","18,006.88","29,109.42","34,926.64","128,990.57","106,603.78"
B-Brand,"18,542.66","5,018.39","4,361.61","19,329.84","9,653.23","25,662.87","26,345.23","108,913.83","90,011.43"
I-Brand,"27,546.71","31,037.66","39,701.14","25,912.20","31,951.79","11,245.09","6,649.07","174,043.66","143,837.74"
M-Brand,"27,855.39","24,768.41","30,054.76","26,733.20","5,018.33","19,714.31","32,000.99","166,145.39","137,310.24"
O-Brand,"43,751.28","41,041.22","22,363.36","4,943.02","30,859.48","39,488.33","27,498.24","209,944.93","173,508.21"
Q-Brand,"9,548.64",586.06,"4,782.93","30,844.22","36,906.31","13,966.38",218.65,"96,853.19","80,043.96"
R-Brand,"20,599.21","29,520.19","1,268.08","8,317.27","30,476.81","27,257.03","25,218.04","142,656.63","117,898.04"
T-Brand,"40,274.93","33,034.85","44,017.75","17,538.97","16,177.09","32,650.13","28,638.03","212,331.75","175,480.79"
U-Brand,"20,155.10","5,949.90","34,526.04","36,310.16","10,060.77","13,343.52","23,277.95","143,623.44","118,697.06"
X-Brand,"4,589.08","29,390.31","41,673.38","28,933.76","10,058.04","20,318.17",677.48,"135,640.22","112,099.36"
Y-Brand,"9,968.32","26,936.57","20,354.83",654.80,"5,320.47","19,768.04","33,715.20","116,718.23","96,461.35"
Z-Brand,"9,735.30","3,555.54","4,908.02","37,922.73","29,712.91","26,735.05","9,315.89","121,885.44","100,731.77"
"Total [Per Day]","9,735.30","3,555.54","4,908.02","37,922.73","29,712.91","26,735.05","9,315.89","1,757,747.28","1,452,683.73"
